,Movie,Song,Lyrics,sentiment,compound,neg,pos,neu,group
10,Aladdin,One Jump (Ahead),gotta keep one jump ahead of the breadline one swing ahead of the sword i steal only what i can't afford that everything one jump ahead of the lawmen that all and that no joke these guys don't appreciate i'm broke riffraff street rat scoundrel take that just a little snack guys rip him open take it back guys i can take a hint gotta face the facts you're my only friend abu who oh it sad aladdin hit the bottom he become a one-man rise in crime i'd blame parents except he hasn't got 'em gotta eat to live gotta steal to eat tell you all about it when i got the time one jump ahead of the slowpokes one skip ahead of my doom next time gonna use a nom de plume one jump ahead of the hitmen one hit ahead of the flock i think i'll take a stroll around the block stop thief vandal outrage scandal let not be too hasty still i think he rather tasty gotta eat to live gotta steal to eat otherwise we'd get along one jump ahead of the hoofbeats vandal one hop ahead of the hump streetrat one trick ahead of disaster scandal they're quick but i'm much faster take that here goes better throw my hand in wish me happy landin' all i gotta do is jump,"{'neg': 0.133, 'neu': 0.778, 'pos': 0.09, 'compound': -0.1811}",-0.1811,0.133,0.09,0.778,2
11,Aladdin,One Jump (Ahead) (Reprise),riffraff street rat i don't buy that if only they'd look closer would they see a poor boy no siree they'd find out there so much more to me,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.175,0.0,0.825,2
12,Aladdin,Prince Ali,make way for prince ali say hey it prince ali hey clear the way in the old bazaar hey you let us through it a bright new star oh come be the first on your block to meet his eye make way here he comes ring bells bang the drums you're gonna love this guy prince ali fabulous he ali ababwa genuflect show some respect down on one knee now try your best to stay calm brush up your sunday salaam then come and meet his spectacular coterie prince ali mighty is he ali ababwa strong as ten regular men definitely he faced the galloping hordes a hundred bad guys with swords who sent those goons to their lords why prince ali he got seventy-five golden camels purple peacocks he got fifty-three when it comes to exotic-type mammals has he got a zoo i'm telling you it a world-class menagerie prince ali handsome is he ali ababwa that physique how can i speak weak at the knee well get on out in that square adjust your veil and prepare to gawk and grovel and stare at prince ali he got ninety-five white persian monkeys he got the monkeys let see the monkeys and to view them he charges no fee he generous so generous he got slaves he got servants and flunkies proud to work for him they bow to his whim love serving him they're just lousy with loyalty to ali prince ali prince ali amorous he ali ababwa heard your princess was a sight lovely to see and that good people is why he got dolled up and dropped by with sixty elephants llamas galore with his bears and lions a brass band and more with his forty fakirs his cooks his bakers his birds that warble on key make way for prince ali,"{'neg': 0.055, 'neu': 0.772, 'pos': 0.172, 'compound': 0.9914}",0.9914,0.055,0.172,0.772,1
13,Aladdin,Prince Ali (Reprise),prince ali yes it is he but not as you know him read my lips and come to grips with reality yes meet a blast from your past whose lies were too good to last say hello to your precious prince ali so ali turns out to be merely aladdin just a con need i go on take it from me his personality flaws give me adequate cause to send him packing on a one-way trip so his prospects take a terminal dip his assets frozen the venue chosen is in the ends of the earth salaam ex-prince ali,"{'neg': 0.033, 'neu': 0.77, 'pos': 0.196, 'compound': 0.9533}",0.9533,0.033,0.196,0.77,1
14,Aladdin (Live-Action),Arabian Nights (2019),oh imagine a land it a faraway place where the caravan camels roam where you wander among every culture and tongue it chaotic but hey it home when the wind from the east and the sun from the west and the sand in the glass is right come on down stop on by hop a carpet and fly to another arabian night as you wind through the streets at the fabled bazaars with the cardamom-cluttered stalls you can smell every spice while you haggle the price of the silks and the satin shawls oh the music that plays as you move through a maze in the haze of your pure delight you are caught in a dance you are lost in the trance of another arabian night arabian nights like arabian days more often than not are hotter than hot in a lot of good ways arabian nights like arabian dreams this mystical land of magic and sand is more than it seems there a road that may lead you to good or to greed through the power your wishing commands let the darkness unfold or find fortunes untold well your destiny lies in your hands arabian nights like arabian days they seem to excite take off and take flight to shock and amaze arabian nights 'neath arabian moons a fool off his guard could fall and fall hard out there on the dunes,"{'neg': 0.096, 'neu': 0.743, 'pos': 0.16, 'compound': 0.9618}",0.9618,0.096,0.16,0.743,1
15,Aladdin (Live-Action),A Whole New World,i can show you the world shining shimmering splendid tell me princess now when did you last let your heart decide i can open your eyes take you wonder by wonder over sideways and under on a magic carpet ride a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming a whole new world a dazzling place i never knew but when i'm way up here it crystal clear that now i'm in a whole new world with you now i'm in a whole new world with you unbelievable sights indescribable feeling soaring tumbling freewheeling through an endless diamond sky a whole new world don't you dare close your eyes a hundred thousand things to see hold your breath it gets better i'm like a shooting star i've come so far i can't go back to where i used to be a whole new world every turn a surprise with new horizons to pursue every moment red-letter i'll chase them anywhere there time to spare let me share this whole new world with you a whole new world a whole new world that where we'll be that where we'll be a thrilling chase a wondrous place for you and me,"{'neg': 0.015, 'neu': 0.836, 'pos': 0.149, 'compound': 0.9799}",0.9799,0.015,0.149,0.836,1
16,Aladdin (Live-Action),A Whole New World (End Title),i can show you the world shining shimmering splendid tell me princess now when did you last let your heart decide i can open your eyes take you wonder by wonder over sideways and under on a magic carpet ride a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming a whole new world a dazzling place i never knew but when i'm way up here it crystal clear that now i'm in a whole new world with you now i'm in a whole new world with you unbelievable sights indescribable feeling soaring tumbling freewheeling through an endless diamond sky a whole new world don't you dare close your eyes a hundred thousand things to see hold your breath it gets better i'm like a shooting star i've come so far i can't go back to where i used to be a whole new world with new horizons to pursue i'll chase them anywhere there time to spare let me share this whole new world with you a whole new world a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming a whole new world every turn a surprise with new horizons to pursue every moment red-letter i'll chase them anywhere there time to spare anywhere ooh there time to spare let me share this whole new world with you a whole new world a whole new world that where we'll be that where we'll be a thrilling chase a wondrous place for you and me,"{'neg': 0.031, 'neu': 0.827, 'pos': 0.142, 'compound': 0.9836}",0.9836,0.031,0.142,0.827,1
17,Aladdin (Live-Action),Friend Like Me,here i go woo back up watch out you done wound me up 'bout to show you what i'm working with well ali baba he had them forty thieves scheherazade had a thousand tales but master you're in luck because up your sleeves you got a brand of magic never fails you got some power in your corner now heavy ammunition in your camp you got some punch pizazz yahoo and how all you gotta do is rub that lamp and then i'll say mrman what your name whatever what will your pleasure be let me take your order i'll jot it down you ain't never had a friend like me life is your restaurant and i'm your maitre d' come whisper to me whatever it is you want you ain't never had a friend like me we pride ourselves on service you the boss the king the shah say what you wish it yours true dish how about a little more baklava have some of column a try all of column b i'm in the mood to help you dude you ain't never had a friend like me oh it the big part watch out it the big part oh can your friends do this can your friends do that can your friends pull this outta of their little hat can your friends goi'm the genie of the lamp i can sing rap dance if you give me a chance oh don't sit there buggy-eyed i'm here to answer all your midday prayers you got me bona fide certified got a genie for your charge d'affaires i got a powerful urge to help you out so what your wish i really wanna know you got a list that three miles long no doubt all you gotta do is rub like so mr aladdin yes one wish or two or three well i'm on the job you big nabob you ain't never had a friend never had a friend you ain't never had a friend never had a friend you ain't never ever had a had a friend friend like like me you ain't never had a friend like me,"{'neg': 0.064, 'neu': 0.701, 'pos': 0.235, 'compound': 0.9972}",0.9972,0.064,0.235,0.701,1
18,Aladdin (Live-Action),Friend Like Me (End Title),yeah another one you know it will smith and dj khaled uh too late y'all done wound me up too late y'all done wound me up 'bout to show you what i'm working with show me what you're working with it the ali baba it the big papa it the blue handsome jasmine like the flower it the graduations that don't even cost a dollar you're riding on a carpet when you're riding with a holler like hey tell me where you wanna go hold up don't tell me i already know watch out it the genie with the attitude three wishes what i need to make true mr mr mr mr tell me whatever you need anything rearrange even climate can change you ain't never had a friend like me never just a lamp and a rub away from whatever you want habibi let me show you the dream habibi just whisper if you don't wanna shout out what you need but i promise you ain't never had a friend like me tell the angels and gods pass the baklava make 'em travel from close make 'em travel from far well this is your chance man wish from the soul when i'm outta the lamp man i'm outta control i got gold on my shoes temple with jewels a room for wise men and plenty for fools i don't want you to lose tryin' to help you dude you ain't never had a friend like me never wish big time big time go big time big time go bit time big time wish big time big time let me see you flex on 'em flex 'em on shine on 'em shine on 'em style on 'em style on 'em slide on 'em slide on 'em too fly uh too fly on 'em just glide on 'em cool as a fan i'm the coolest bluest one of 'em all you can wish to be rich you can wish to be tall you can wish your way to hades you just give me a call you can wish for what you want 'cause i'm grantin' 'em all mr mr mr mr tell me whatever you need anything rearrange even climate can change you ain't never had a friend like me never just a lamp and a rub away from whatever you want habibi let me show you the dream habibi just whisper if you don't wanna shout out what you need but i promise you ain't never had a friend like me please don't get me started fly like magic carpet you ain't never had a friend never had a friend you ain't never had a friend never had a friend you ain't never never had a had a friend friend like like me you ain't never had a friend like me never,"{'neg': 0.015, 'neu': 0.726, 'pos': 0.26, 'compound': 0.9989}",0.9989,0.015,0.26,0.726,1
19,Aladdin (Live-Action),One Jump Ahead,gotta keep one jump ahead of the breadline one swing ahead of the sword i steal only what i can't afford and that everything one jump ahead of the lawmen that all and that no joke these guys don't appreciate i'm broke riffraff street rat scoundrel take that try a different tack guys rip him open round the back guys i can take a hint gotta face the facts could really use a friend or two huh oh it sad aladdin hit the bottom he become a one-man rise in crime i'd blame parents except he hasn't got 'em gotta eat to live gotta steal to eat tell you all about it when i got the time one jump ahead of the slowpokes one skip ahead of my doom next time gonna use a nom de plume one jump ahead of the hitmen one hit ahead of the flock i think i'll take a stroll around the block stop thief vandal abu scandal let not be too hasty still i think he rather tasty gotta eat to live gotta steal to eat otherwise we'd get along one jump ahead of the hoofbeats one hop ahead of the hump one trick ahead of disaster they're quick but i'm much faster here goes better throw my hand in wish me happy landin' all i gotta do is jump,"{'neg': 0.119, 'neu': 0.789, 'pos': 0.092, 'compound': 0.3666}",0.3666,0.119,0.092,0.789,1
20,Aladdin (Live-Action),One Jump Ahead (Reprise),riffraff street rat i don't buy that if only they'd look closer would they see a poor boy no siree they'd find out there so much more to me,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.175,0.0,0.825,2
21,Aladdin (Live-Action),One Jump Ahead (Reprise 2),riffraff street rat would they think that if they look much closer still i can't play a prince here no siree gotta tell the truth i can't pretend even if it means this dream will end even if she walks away from me,"{'neg': 0.094, 'neu': 0.776, 'pos': 0.13, 'compound': 0.1556}",0.1556,0.094,0.13,0.776,1
22,Aladdin (Live-Action),Prince Ali,make way for prince ali say hey it prince ali hey clear the way in the old bazaar hey you let us through it a brand new star oh come be the first on your block to meet his eye make way here he comes ring bells bang the drums you're gonna love this guy prince ali fabulous he ali ababwa show some respect boy genuflect down on one knee now try your best to stay calm brush up your friday salaam then come and meet his spectacular coterie prince ali mighty is he ali ababwa strong as ten regular men definitely he faced the galloping hordes a hundred bad guys with swords who sent those goons to their lords why prince ali fellas he got he got seventy-five golden camels woo uh huh now the ladies what he got purple peacocks he got fifty-three uh huh uh huh uh huh when it comes to exotic-type mammals everybody help me out he got a zoo i'm telling you it a world-class menagerie prince ali handsome is he ali ababwa that physique how can i speak weak in my knees yummy boy so get on out in that square adjust your veil and prepare to gawk and grovel and stare at prince ali he got ninety-five white persian monkeys he got the monkeys a bunch of monkeys and to view them he charges no fee he generous so generous he got ten thousand servants and flunkies proud to work for him they bow to his whim love serving him they're just lousy with loyalty to ali prince ali prince a- we're waiting for you we're not going till you go you can do it there it is prince ali amorous he ali ababwa heard your princess was hot where is she and that good people is why he got all cute and dropped by with sixty elephants llamas galore for real with his bears and lions a brass band and more what with his forty fakirs his cooks his bakers his birds that warble on key make way for prince ali,"{'neg': 0.049, 'neu': 0.79, 'pos': 0.161, 'compound': 0.9927}",0.9927,0.049,0.161,0.79,1
23,Aladdin (Live-Action),Speechless (Part 1),here comes a wave meant to wash me away a tide that is taking me under broken again left with nothing to say my voice drowned out in the thunder but i can't cry and i can't start to crumble whenever they try to shut me or cut me down i can't stay silent though they wanna keep me quiet and i tremble when they try it all i know is i won't go speechless,"{'neg': 0.13, 'neu': 0.825, 'pos': 0.044, 'compound': -0.6672}",-0.6672,0.13,0.044,0.825,2
24,Aladdin (Live-Action),Speechless (Part 2),written in stone every rule every word centuries old and unbending stay in your place better seen and not heard well now that story ending 'cause i i cannot start to crumble so come on and try try to shut me cut me down i won't be silenced you can't keep me quiet won't tremble when you try it all i know is i won't go speechless speechless let the storm in i cannot be broken no i won't live unspoken 'cause i know that i won't go speechless try to lock me in this cage i won't just lay me down and die i will take these broken wings and watch me burn across the sky hear the echos saying i won't be silenced though you wanna see me tremble when you try it all i know is i won't go speechless speechless 'cause i'll breathe when they try to suffocate me don't you underestimate me 'cause i know that i won't go speechless all i know is i won't go speechless speechless,"{'neg': 0.046, 'neu': 0.863, 'pos': 0.091, 'compound': 0.6806}",0.6806,0.046,0.091,0.863,1
25,Aladdin (Live-Action),Speechless (Full),here comes a wave meant to wash me away a tide that is taking me under swallowing sand left with nothing to say my voice drowned out in the thunder but i won't cry and i won't start to crumble whenever they try to shut me or cut me down i won't be silenced you can't keep me quiet won't tremble when you try it all i know is i won't go speechless 'cause i'll breathe when they try to suffocate me don't you underestimate me 'cause i know that i won't go speechless written in stone every rule every word centuries old and unbending stay in your place better seen and not heard well now that story ending 'cause i i cannot start to crumble so come on and try try to shut me and cut me down i won't be silenced you can't keep me quiet won't tremble when you try it all i know is i won't go speechless speechless let the storm in i cannot be broken no i won't live unspoken 'cause i know that i won't go speechless try to lock me in this cage i won't just lay me down and die i will take these broken wings and watch me burn across the sky hear the echo saying i won't be silenced though you wanna see me tremble when you try it all i know is i won't go speechless speechless 'cause i'll breathe when they try to suffocate me don't you underestimate me 'cause i know that i won't go speechless all i know is i won't go speechless speechless,"{'neg': 0.057, 'neu': 0.841, 'pos': 0.102, 'compound': 0.8801}",0.8801,0.057,0.102,0.841,1
26,Aladdin: The Return of Jafar,Arabian Nights,follow me to a place where incredible feats are routine every hour or so where enchantment runs rampant yes wild in the streets open sesame here we go arabian nights like arabian days they tease and excite take off and take flight they shock and amaze arabian nights like arabian days more often than not are hotter than hot in a lot of good ways pack your shield pack your sword you won't ever get bored though get beaten or gored you might come on down stop on by hop a carpet and fly to another arabian night,"{'neg': 0.088, 'neu': 0.744, 'pos': 0.168, 'compound': 0.8448}",0.8448,0.088,0.168,0.744,1
27,Aladdin: The Return of Jafar,Forget About Love,forget about that guy forget about the way you fell into his eyes forget about his charms forget about the way he held you in his arms walking on air obnoxious the thrills the chills will make you nauseous and you'll never get enough just forget about love forget about romance forget about the way your heart begins to dance then you feel the blush when he spouting out some sentimental mush love really is revolting it even worse than when you're molting enough of this fluff just forget about love i had almost forgotten the way it felt when he held out his hand for mine my heart all a-flutter oh how i shudder the first time we kissed it won't be missed forget about his touch i can't forget about his touch in the scheme of things it doesn't matter much it matters so much you're better on your own a meal becomes a banquet when you eat alone hmm-mm-mm-mm love filled with compromises and don't you hate those big surprises a cozy rendez-vous oh please candlelight for two oh geez look you're calling my bluff i can't just forget about love i can't forget about my heart i can't forget about my heart and how it felt to fall for you right from the start i'm still falling whatever we may do whatever we may do you are here for me and i'll be there for you i'll be there to wish to want to wander to find the sun through rain and thunder a cozy rendez-vous yes please candlelight for two oh geez enough is enough  we can't forget about love,"{'neg': 0.119, 'neu': 0.683, 'pos': 0.198, 'compound': 0.9869}",0.9869,0.119,0.198,0.683,1
28,Aladdin: The Return of Jafar,I'm Looking out for Me,that it i've had it i hate to be dramatic but it time for me to fly the coop terrific fine i'm drawin' the line before i wind up in a parrot soup i was a fool to let you run the show i'm cuttin' ya loose pal look out below arrividerci c'est la vie hope all goes well i'm lookin' out for me okay i'm little been playin' second fiddle and i don't get no respect i turn the other cheek but this busted beak is the only thanks that i get i never found a friend that i can trust they promise caviar and leave me eatin' dust that some reward for loyalty from here on in i'm lookin' out for me oh i don't need nobody else i'll never fail i'll cover my own tail i can take care of myself you know it just don't pay to give a hoot i'm givin' all my heart what do i get the boot i'm through wit' dat i'm flappin' free from here on in i'm lookin' out for me,"{'neg': 0.08, 'neu': 0.675, 'pos': 0.245, 'compound': 0.9894}",0.9894,0.08,0.245,0.675,1
29,Aladdin: The Return of Jafar,Nothing In the World (Quite Like a Friend),i parachuted down into the taj mahal i rollerbladed all along the great great wall i even made the famous leaning tower fall but who was with me through it all nobody the moscow circus hired me to fly trapeze on mount olympus won a race with hercules it easy when you're chased by killer bees who said gesundheit when i sneezed so now i'm home home again with you you chase the clouds away whenever i am blue you're always blue and the pyramids i highly recommend there is nothing in the world quite like a friend slept like a babe in bombay on a bed of nails moroccans loved my daring dance of seven veils i single-handedly i even saved the whales no one was there to hear my tales in acapulco joined a mariachi band i rode the ragin' rapids down the rio grande flew in an air balloon but when i tried to land nobody laughed or lent a hand without you the amazon is just a trickle without you the sahara not so hot without you niagara falls is just a leaky faucet and the qeii is just some yacht now that i'm home home again it clear all i ever wanted seems to be right here i've traveled east and west and now i'm back again and there nothing in the world quite like a friend  there nothing in the world nothing in the whole wide world there is nothing in the world quite like a friend nothin' in the whole wide world,"{'neg': 0.035, 'neu': 0.728, 'pos': 0.237, 'compound': 0.9963}",0.9963,0.035,0.237,0.728,1
30,Aladdin: The Return of Jafar,You're Only Second Rate,i must admit your parlor tricks are amusing i bet you've got a bunny under your hat now here your chance to get the best of me hope your hand is hot c'mon clown let see what you've got you try to slam me with your hardest stuff but your double whammy isn't up to snuff i'll set the record straight you're simply out of date you're only second rate you think your cat a meanie but your tiger tame you've got a lot to learn about the genie game so for your education i'll reiterate you're only second rate men cower at the power in my pinky my thumb is number one on every list but if you're not convinced that i'm invincible put me to the test i'd love to lay this rivalry to rest go ahead and zap me with the big surprise snap me in a trap cut me down to size i'll make a great escape it just a piece of cake you're only second rate you know your hocus-pocus isn't tough enough and your mumbo-jumbo doesn't measure up let me pontificate upon your sorry state you're only second rate zaba-caba-dabra granny gonna grab ya alakazam-da-mus and this thing bigger than the both of us so spare me your tremendous scare you look horrendous in your underwear and i can hardly wait to discombobulate i'll send ya back and packing in a shipping crate you'd make a better living with a spinning plate you're only second rate,"{'neg': 0.08, 'neu': 0.777, 'pos': 0.143, 'compound': 0.9373}",0.9373,0.08,0.143,0.777,1
31,Aladdin and the King of Thieves,Are You in or Out?,i remember a time when crime was sublime there was plenty of loot in the lair we'd plunder and pillage and ransack a village with nary a worry or care then along came this king with his soft-hearted dream but he ratted us out in the end so rally the troops we were meant to regroup and return to our roots once again are you in or out gotta know without a doubt i'm the one you need for a dirty deed i'm the best success is guaranteed are you men or mice take a slice of my advice you want a fearless leader one that strong and stout better vote for me are you in or out we used to be smart yes horrendously heartless in a ravaging raid we were rough we knew what we had to be blissfully bad then cassim brought this sensitive stuff and we strayed from the path of our rigorous wrath now we're taking a bath in the dust but we'll reclaim our winnings our humble beginnings in turmoil and torture we trust are you in or out double-crossers or devout put your faith in me pretty soon you'll see i'm the prince of generosity are you foe or friend here the path i recommend you want a ride to fame i've got the fastest route what it gonna be are you in or out we'll go robbing in all the right places from agrabah dunes to paris imagine the fear on their faces when we drop by for cookies and tea are you in or out if you're with me give a shout i'll lead you all the way into the glory days we'll begin a life of crime that pays are you out or in make your choice now sink or swim you can stick with me or stay behind and pout what it gonna be consider carefully are you in or out,"{'neg': 0.119, 'neu': 0.68, 'pos': 0.201, 'compound': 0.9857}",0.9857,0.119,0.201,0.68,1
32,Aladdin and the King of Thieves,Father and Son,it a big bright beautiful future thank your lucky stars you're alive you got someone special to talk to a friend that you can trust for life you've been on your own with no family ties but those solo days are done you'll be two of a kind spending quality time together as father and son buildin' model ships takin' fishin' trips workin' hand in hand painting the palace mowin' the sand first at ten to go with your daddy-o once you break the ice you can postulate paternal advice see you're travelling at the speed of life that the theory of relatives it a fine fantabulous future i see fruit on the family tree you'll be great as a grumpy ol' grandpa bouncing babies on your knee you can fall asleep on the comfy couch after playin' one-on-one reamin' back-to-back betcha wallop the shaq together as father and son may be a bumpy ride we'll make it side by side good afternoon i'll be your travel guide move over aladdin make room for dad you got a whole new shoulder to cry on take a chance now give it a spin you've had chums for palin' around with but you never had a friend like him put your checkered past behind you now no more living on the run face the big bright beautiful future together together together together as father and son,"{'neg': 0.042, 'neu': 0.749, 'pos': 0.209, 'compound': 0.9922}",0.9922,0.042,0.209,0.749,1
33,Aladdin and the King of Thieves,Out of Thin Air,you showed me the world when i was all locked up inside you reached out your hand and took me on a magic carpet ride one look at your smile and i could see the light shining everywhere people like you don't come out of thin air oh jasmine you don't understand there is so much that you don't see just think if you can what growing up had to be like for me your father a man who taught you who you are mine was never there so how can you say i don't come out of thin air there so much i want to know you've got the chance to learn if it means i'd have to go i'll be right here when you return our wedding can wait i love you i think it worth this small delay maybe you're right and won't it be great to have your father see our wedding day i've waited so long it isn't too late to learn the truth and now at last we can finally say your father is really there there so much that we might share and you'll finally learn you don't come out of thin air,"{'neg': 0.026, 'neu': 0.841, 'pos': 0.132, 'compound': 0.9544}",0.9544,0.026,0.132,0.841,1
